MANDT,MATNR,VKORG,VTWEG,LVORM,VERSG,BONUS,PROVG,SKTOF,VMSTA,VMSTD,AUMNG,LFMNG,EFMNG,SCMNG,SCHME,VRKME,MTPOS,DWERK,PRODH,PMATN,KONDM,KTGRM,MVGR1,MVGR2,MVGR3,MVGR4,MVGR5,SSTUF,PFLKS,LSTFL,LSTVZ,LSTAK,LDVFL,LDBFL,LDVZL,LDBZL,VDVFL,VDBFL,VDVZL,VDBZL,PRAT1,PRAT2,PRAT3,PRAT4,PRAT5,PRAT6,PRAT7,PRAT8,PRAT9,PRATA,RDPRF,MEGRU,LFMAX,RJART,PBIND,VAVME,MATKC,PVMSO,/BEV1/EMLGRP,/BEV1/EMDRCKSPL,/BEV1/RPBEZME,/BEV1/RPSNS,/BEV1/RPSFA,/BEV1/RPSKI,/BEV1/RPSCO,/BEV1/RPSSO,/SIE/SF_LO_LEAD_MDM,PLGTP,ZZVMSTA,YYLASTUPD,ZZDADATE,ZZDATIME,GLCOMMITTIME,LAST_UPDATED
500,MAT-002006,SORG-05,O2,,1,,,X,07,20251217,0.000,0.000,0.000,0.000,,,NORM,PLNT-28,602D09000-00000013,,,01,,CSX,,,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20251217,212049,2025-12-17 21:23:08.971,2025-12-17 21:36:59.829
500,MAT-001075,SORG-03,O2,,1,,,,07,20060914,1.000,0.000,0.000,0.000,,,NORM,PLNT-29,602D09000-00000029,,,42,,,,,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20251017,160227,2025-10-17 16:02:33.053,2025-10-17 16:08:18.677
500,MAT-002377,SORG-03,O1,,1,,,X,99,20250625,0.000,0.000,0.000,0.000,,,NORM,PLNT-43,602D09000-00001000,,,01,,,,,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20250625,193620,2025-06-25 19:37:03.495,2025-06-25 19:40:45.809
500,MAT-000752,SORG-03,O1,,1,,,X,99,20111010,0.000,0.000,0.000,1.000,,,NORM,PLNT-43,602D00011-00160000,,,42,C00,C01,P53,P01,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20260220,114955,2026-02-20 11:54:12.188,2026-02-20 12:08:01.768
500,MAT-000588,SORG-13,O1,,1,,,,99,20260202,1.000,0.000,0.000,0.000,,,NORM,PLNT-20,802M20901-90100000,,,42,,,,,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,20251206124244,20260203,001814,2026-02-03 00:18:23.446,2026-02-03 00:38:05.520
500,MAT-002670,SORG-03,O1,,1,,,X,99,20251212,0.000,0.000,0.000,0.000,,,NORM,PLNT-43,602D00077-00090000,,,01,,,,,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20251212,194803,2025-12-12 19:48:15.111,2025-12-12 20:08:24.184
500,MAT-000705,SORG-13,O1,,1,,,,99,20260107,1.000,0.000,0.000,0.000,,,NORM,PLNT-20,802M10401-40100000,,,42,,,,,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,20251203172008,20260107,175800,2026-01-07 18:01:54.708,2026-01-07 18:09:12.214
500,MAT-001098,SORG-01,O1,,1,,,,99,20250219,0.000,0.000,0.000,0.000,,,ZPS3,PLNT-40,602D00040-00090041,,AA,42,,,,,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20250219,091903,2025-02-19 09:19:49.821,2025-02-19 09:43:41.392
500,MAT-000842,SORG-03,O1,,1,04,,,99,20240821,1.000,0.000,0.000,0.000,,,NORM,PLNT-47,602D00011-00080000,,,42,C01,C07,P98,QF9,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20250829,112541,2025-08-29 11:25:52.748,2025-08-29 11:42:36.141
500,MAT-001832,SORG-03,O1,,1,,,X,99,20250625,0.000,0.000,0.000,0.000,,,NORM,PLNT-43,602D00051-00000001,,,01,,,,,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20250625,190015,2025-06-25 19:00:42.818,2025-06-25 19:10:53.567
500,MAT-001078,SORG-03,O1,,1,05,,,99,20241023,1.000,0.000,0.000,0.000,,,NORM,PLNT-46,602D08000-00000034,,,42,Z06,A57,ZM2,ZHK,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,86,20241023184200,20241023,184247,2024-10-23 18:44:48.045,2024-10-23 19:12:17.786
500,MAT-003045,SORG-13,O2,,1,,,,99,20251205,0.000,0.000,0.000,0.000,,,NORM,PLNT-11,802M20802-80200000,,,42,,,,,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20251205,101016,2025-12-05 10:16:08.877,2025-12-05 10:37:02.600
500,MAT-001896,SORG-01,O1,,1,,,X,99,20250908,0.000,0.000,0.000,0.000,,,NORM,PLNT-37,602E00006-00010000,,,42,,,,,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20250908,180355,2025-09-08 18:04:12.672,2025-09-08 18:10:52.345
500,MAT-001783,SORG-01,O1,,1,,,X,99,20250425,0.000,0.000,0.000,0.000,,,ZPS3,PLNT-40,602D00040-00090032,,,01,,,,,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20250425,173255,2025-04-25 17:36:42.587,2025-04-25 17:40:40.133
500,MAT-000671,SORG-13,O1,,1,,,,99,20250213,1.000,0.000,0.000,0.000,,,NORM,PLNT-20,802M10211-21100000,,,42,,,,,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20250213,205115,2025-02-13 20:51:34.006,2025-02-13 21:11:13.902
500,MAT-002767,SORG-01,O1,,1,,,X,99,20260129,0.000,0.000,0.000,0.000,,UN,NORM,PLNT-37,602E00006-00010000,,AA,,,,,,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20260129,133429,2026-01-29 13:34:48.034,2026-01-29 13:38:37.661
500,MAT-001720,SORG-01,O1,,1,,,X,99,20250206,0.000,0.000,0.000,0.000,,,NORM,PLNT-37,602E00006-00010000,,,01,,,,,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20250206,173609,2025-02-06 17:40:08.047,2025-02-06 17:41:39.856
500,MAT-002897,SORG-01,O1,,1,,,X,99,20241217,0.000,0.000,0.000,0.000,,,NORM,PLNT-37,602E00007-00010000,,AA,42,,,,,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20241217,140654,2024-12-17 14:07:04.028,2024-12-17 14:11:21.706
500,MAT-001933,SORG-01,O1,,1,,,,99,20250728,1.000,0.000,0.000,0.000,,,ZPS3,PLNT-36,602D00040-00091193,,,01,,,,,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20251016,161616,2025-10-16 16:16:33.909,2025-10-16 16:36:59.286
500,MAT-004489,SORG-01,O1,,1,,,,99,20250612,0.000,0.000,0.000,0.000,,,LEIS,PLNT-37,602E00006-00010000,,AA,02,,,,,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20250612,143154,2025-06-12 14:34:41.267,2025-06-12 14:42:56.401
500,MAT-001661,SORG-01,O1,,1,,,X,99,20181101,0.000,0.000,0.000,0.000,,,ZPS3,PLNT-36,602D00040-00091160,,,01,,,,,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20241107,141718,2024-11-07 14:18:08.665,2024-11-07 14:43:43.504
500,MAT-000456,SORG-12,O1,,1,,LI,X,99,20250618,1.000,0.000,0.000,0.000,,,NORM,PLNT-16,802M07901-04200804,,,42,,,,,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20250618,170401,2025-06-18 17:04:15.124,2025-06-18 17:11:35.367
500,MAT-001890,SORG-01,O1,,1,,,X,99,20181101,0.000,0.000,0.000,0.000,,,ZPS3,PLNT-36,602E00003-00050000,,,01,,,,,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20250903,145150,2025-09-03 14:53:27.421,2025-09-03 15:13:22.349
500,MAT-002998,SORG-12,O2,,1,,,X,99,20250828,0.000,0.000,0.000,0.000,,,NORM,PLNT-08,802M07901-09700316,,,42,,,,,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20250923,185026,2025-09-23 18:51:07.786,2025-09-23 19:13:27.107
