MANDT,MATNR,SPRAS,MAKTX,MAKTG,ZZDADATE,ZZDATIME,GLCOMMITTIME,LAST_UPDATED
500,MAT-000015,E,Product MAT-000015,Product MAT-000015,20251112,185913,2025-11-12 18:59:20.033,2025-11-12 19:09:02.207
500,MAT-000015,S,Product MAT-000015,Product MAT-000015,20251112,185913,2025-11-12 18:59:20.033,2025-11-12 19:09:02.207
500,MAT-000503,P,Product MAT-000503,Product MAT-000503,20251113,070723,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000593,P,Product MAT-000593,Product MAT-000593,20251113,070652,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000595,E,Product MAT-000595,Product MAT-000595,20251113,070652,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000432,E,Product MAT-000432,Product MAT-000432,20251113,070723,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000599,P,Product MAT-000599,Product MAT-000599,20251113,070652,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000513,E,Product MAT-000513,Product MAT-000513,20251113,070723,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000594,D,Product MAT-000594,Product MAT-000594,20251113,070652,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000593,D,Product MAT-000593,Product MAT-000593,20251113,070652,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000600,E,Product MAT-000600,Product MAT-000600,20251113,070652,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000425,D,Product MAT-000425,Product MAT-000425,20251113,070652,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000504,S,Product MAT-000504,Product MAT-000504,20251113,070723,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000508,P,Product MAT-000508,Product MAT-000508,20251113,070723,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000247,E,Product MAT-000247,Product MAT-000247,20251113,070652,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000503,S,Product MAT-000503,Product MAT-000503,20251113,070723,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000514,E,Product MAT-000514,Product MAT-000514,20251113,070723,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000596,D,Product MAT-000596,Product MAT-000596,20251113,070652,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000595,D,Product MAT-000595,Product MAT-000595,20251113,070652,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000599,E,Product MAT-000599,Product MAT-000599,20251113,070652,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000508,S,Product MAT-000508,Product MAT-000508,20251113,070723,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000508,D,Product MAT-000508,Product MAT-000508,20251113,070723,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000598,D,Product MAT-000598,Product MAT-000598,20251113,070652,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000425,S,Product MAT-000425,Product MAT-000425,20251113,070652,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000427,P,Product MAT-000427,Product MAT-000427,20251113,070652,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000247,D,Product MAT-000247,Product MAT-000247,20251113,070652,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000428,S,Product MAT-000428,Product MAT-000428,20251113,070723,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000507,E,Product MAT-000507,Product MAT-000507,20251113,070723,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000600,P,Product MAT-000600,Product MAT-000600,20251113,070652,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000584,P,Product MAT-000584,Product MAT-000584,20251113,070652,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000513,D,Product MAT-000513,Product MAT-000513,20251113,070723,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000510,D,Product MAT-000510,Product MAT-000510,20251113,070723,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000431,S,Product MAT-000431,Product MAT-000431,20251113,070723,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000598,E,Product MAT-000598,Product MAT-000598,20251113,070652,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000506,D,Product MAT-000506,Product MAT-000506,20251113,070723,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000429,S,Product MAT-000429,Product MAT-000429,20251113,070723,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000502,S,Product MAT-000502,Product MAT-000502,20251113,070723,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000245,P,Product MAT-000245,Product MAT-000245,20251113,070652,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000430,S,Product MAT-000430,Product MAT-000430,20251113,070723,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000429,E,Product MAT-000429,Product MAT-000429,20251113,070723,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000600,D,Product MAT-000600,Product MAT-000600,20251113,070652,2025-11-13 07:07:51.014,2025-11-13 07:10:00.489
500,MAT-000458,D,Product MAT-000458,Product MAT-000458,20251112,130316,2025-11-12 13:06:03.164,2025-11-12 13:10:06.845
500,MAT-000458,E,Product MAT-000458,Product MAT-000458,20251112,130316,2025-11-12 13:06:03.164,2025-11-12 13:10:06.845
500,MAT-000458,P,Product MAT-000458,Product MAT-000458,20251112,130316,2025-11-12 13:06:03.164,2025-11-12 13:10:06.845
500,MAT-000458,S,Product MAT-000458,Product MAT-000458,20251112,130316,2025-11-12 13:06:03.164,2025-11-12 13:10:06.845
500,MAT-003864,D,Product MAT-003864,Product MAT-003864,20251112,131447,2025-11-12 13:19:22.173,2025-11-12 13:40:47.158
500,MAT-003862,D,Product MAT-003862,Product MAT-003862,20251112,131447,2025-11-12 13:19:22.173,2025-11-12 13:40:47.158
500,MAT-003868,E,Product MAT-003868,Product MAT-003868,20251112,131527,2025-11-12 13:19:22.173,2025-11-12 13:40:47.158
500,MAT-002630,Z,Product MAT-002630,Product MAT-002630,20251112,133745,2025-11-12 13:38:50.508,2025-11-12 13:40:47.158
500,MAT-003861,E,Product MAT-003861,Product MAT-003861,20251112,131447,2025-11-12 13:19:22.173,2025-11-12 13:40:47.158
500,MAT-003859,D,Product MAT-003859,Product MAT-003859,20251112,131355,2025-11-12 13:14:24.440,2025-11-12 13:40:47.158
500,MAT-003859,E,Product MAT-003859,Product MAT-003859,20251112,131355,2025-11-12 13:14:24.440,2025-11-12 13:40:47.158
500,MAT-003869,D,Product MAT-003869,Product MAT-003869,20251112,131355,2025-11-12 13:14:24.440,2025-11-12 13:40:47.158
500,MAT-003863,E,Product MAT-003863,Product MAT-003863,20251112,131447,2025-11-12 13:19:22.173,2025-11-12 13:40:47.158
500,MAT-001953,S,Product MAT-001953,Product MAT-001953,20251112,141008,2025-11-12 14:10:33.609,2025-11-12 14:11:04.024
500,MAT-003865,E,Product MAT-003865,Product MAT-003865,20251112,131355,2025-11-12 13:14:24.440,2025-11-12 13:40:47.158
500,MAT-002630,P,Product MAT-002630,Product MAT-002630,20251112,133745,2025-11-12 13:38:50.508,2025-11-12 13:40:47.158
500,MAT-003863,D,Product MAT-003863,Product MAT-003863,20251112,131447,2025-11-12 13:19:22.173,2025-11-12 13:40:47.158
