MANDT,MATNR,BWKEY,BWTAR,LVORM,LBKUM,SALK3,VPRSV,VERPR,STPRS,PEINH,BKLAS,SALKV,VMKUM,VMSAL,VMVPR,VMVER,VMSTP,VMPEI,VMBKL,VMSAV,VJKUM,VJSAL,VJVPR,VJVER,VJSTP,VJPEI,VJBKL,VJSAV,LFGJA,LFMON,BWTTY,STPRV,LAEPR,ZKPRS,ZKDAT,TIMESTAMP,BWPRS,BWPRH,VJBWS,VJBWH,VVJSL,VVJLB,VVMLB,VVSAL,ZPLPR,ZPLP1,ZPLP2,ZPLP3,ZPLD1,ZPLD2,ZPLD3,PPERZ,PPERL,PPERV,KALKZ,KALKL,KALKV,KALSC,XLIFO,MYPOL,BWPH1,BWPS1,ABWKZ,PSTAT,KALN1,KALNR,BWVA1,BWVA2,BWVA3,VERS1,VERS2,VERS3,HRKFT,KOSGR,PPRDZ,PPRDL,PPRDV,PDATZ,PDATL,PDATV,EKALR,VPLPR,MLMAA,MLAST,LPLPR,VKSAL,HKMAT,SPERW,KZIWL,WLINL,ABCIW,BWSPA,LPLPX,VPLPX,FPLPX,LBWST,VBWST,FBWST,EKLAS,QKLAS,MTUSE,MTORG,OWNPR,XBEWM,BWPEI,MBRUE,OKLAS,OIPPINV,/SIE/SSG_ZRUAD,ZZDADATE,ZZDATIME,GLCOMMITTIME,LAST_UPDATED
500,MAT-001504,PLNT-41,,,0.000,0.00,S,0.00,0.00,1,9100,0.00,0.000,0.00,S,0.00,0.00,1,9100,0.00,0.000,0.00,S,0.00,0.00,1,9100,0.00,2025,03,,0.00,00000000,0.00,00000000,0,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0.00,0.00,0.00,00000000,00000000,00000000,000000,000000,000000,,,,,,,0.00,0.00,00,BG,000174315485,000174315486,,,,00,00,00,020,,000,000,000,0000,0000,0000,,0.00,,,0.00,0.00,X,,,00000000,,0.00,0.00,0.00,0.00,,,,,,0,1,,,0,,,,0.00,20241203,203725,2024-12-03 20:38:30.469,2024-12-03 21:04:50.341
500,MAT-003734,PLNT-36,,,0.000,0.00,S,1.00,1.00,1,4000,0.00,0.000,0.00,S,1.00,1.00,1,4000,0.00,0.000,0.00,S,1.00,1.00,1,4000,0.00,2026,01,,0.00,00000000,0.00,00000000,0,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0.00,0.00,0.00,00000000,00000000,00000000,000000,000000,000000,,,,,,,0.00,0.00,00,BG,000176034077,000176034078,,,,00,00,00,050,2E670,000,000,000,0000,0000,0000,X,0.00,X,3,0.00,0.00,X,,,00000000,,0.00,0.00,0.00,0.00,,,,,,1,0,X,,0,,,,0.00,20251014,115915,2025-10-14 12:01:16.861,2025-10-14 12:09:15.777
500,MAT-004464,PLNT-37,,,0.000,0.00,V,1.00,1.00,1,9101,0.00,0.000,0.00,S,1.00,1.00,1,9101,0.00,0.000,0.00,S,1.00,1.00,1,9101,0.00,2026,04,,0.00,00000000,0.00,00000000,0,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0.00,0.00,0.00,00000000,00000000,00000000,000000,000000,000000,,,,,,,0.00,0.00,00,BG,000176564867,000176564868,,,,00,00,00,020,,000,000,000,0000,0000,0000,,0.00,,,0.00,0.00,X,,,00000000,,0.00,0.00,0.00,0.00,,,,,,0,1,,,0,,,,0.00,20260127,172822,2026-01-27 17:29:13.965,2026-01-27 17:36:45.406
500,MAT-003502,PLNT-41,,,0.000,0.00,S,2724.58,1703.38,1,9000,0.00,0.000,0.00,S,2724.58,1703.38,1,9000,0.00,0.000,0.00,S,2724.58,1703.38,1,9000,0.00,2026,01,,0.00,00000000,0.00,00000000,0,0.00,2724.57,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0.00,0.00,0.00,00000000,00000000,00000000,000000,000000,000000,,,,,X,,0.00,0.00,00,B,000176029223,000176029224,,,,00,00,00,,,000,000,000,0000,0000,0000,,0.00,,,0.00,0.00,,,,00000000,,0.00,0.00,0.00,0.00,,,,,,3,1,,,1,,,,0.00,20251013,131659,2025-10-13 13:17:59.015,2025-10-13 13:38:13.065
500,MAT-000998,PLNT-46,,,0.000,0.00,S,0.01,0.01,1,9101,0.00,0.000,0.00,V,0.01,0.00,1,9101,0.00,0.000,0.00,V,0.01,0.00,1,9101,0.00,2025,06,,0.00,00000000,0.00,00000000,0,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0.00,0.00,0.00,00000000,00000000,00000000,000000,000000,000000,,,,,,,0.00,0.00,00,BG,000174698270,000174698271,,,,00,00,00,,,000,000,000,0000,0000,0000,,0.00,,,0.00,0.00,X,,,00000000,,0.00,0.00,0.00,0.00,,,,,,0,1,,,0,,,,0.00,20250324,104429,2025-03-24 10:49:01.516,2025-03-24 11:07:53.608
500,MAT-000994,PLNT-33,,,0.000,0.00,S,3128.37,3128.37,1,9100,0.00,0.000,0.00,S,3128.37,3128.37,1,9100,0.00,0.000,0.00,S,3128.37,3128.37,1,9100,0.00,2025,12,,0.00,00000000,0.00,00000000,0,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0.00,0.00,0.00,00000000,00000000,00000000,000000,000000,000000,,,,,,,0.00,0.00,00,BG,000175810407,000175810408,,,,00,00,00,020,,000,000,000,0000,0000,0000,X,0.00,,,0.00,0.00,X,,,00000000,,0.00,0.00,0.00,0.00,,,,,,0,1,,,0,,,,0.00,20250902,211219,2025-09-02 21:12:28.441,2025-09-02 21:36:31.105
500,MAT-003115,PLNT-09,,,0.000,0.00,S,4788.05,4788.05,1,9000,0.00,0.000,0.00,S,4788.05,4788.05,1,9000,0.00,0.000,0.00,S,4788.05,4788.05,1,9000,0.00,2026,04,,0.00,00000000,0.00,00000000,0,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0.00,0.00,0.00,00000000,00000000,00000000,000000,000000,000000,,,,,X,,0.00,0.00,00,B,000176550041,000176550042,,,,00,00,00,,,000,000,000,0000,0000,0000,,0.00,,,0.00,0.00,,,,00000000,,0.00,0.00,0.00,0.00,,,,,,3,1,,,0,,,,0.00,20260123,153933,2026-01-23 15:43:23.606,2026-01-23 16:08:24.286
500,MAT-003510,PLNT-49,,X,0.000,0.00,S,26105.13,26105.13,1,9000,0.00,0.000,0.00,S,26105.13,26105.13,1,9000,0.00,0.000,0.00,S,26105.13,26105.13,1,9000,0.00,2026,02,,0.00,00000000,0.00,00000000,0,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0.00,0.00,0.00,00000000,00000000,00000000,000000,000000,000000,,,,,X,,0.00,0.00,00,B,000176194046,000176194047,,,,00,00,00,,,000,000,000,0000,0000,0000,,0.00,,,0.00,0.00,,,,00000000,,0.00,0.00,0.00,0.00,,,,,,3,1,,,1,X,,,0.00,20251106,111810,2025-11-06 11:18:14.822,2025-11-06 11:38:14.699
500,MAT-000442,PLNT-12,REPAIR 100,,0.000,0.00,V,0.00,0.00,1,8000,0.00,0.000,0.00,V,0.00,0.00,1,8000,0.00,0.000,0.00,V,0.00,0.00,1,8000,0.00,2026,02,Q,0.00,00000000,0.00,00000000,0,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0.00,0.00,0.00,00000000,00000000,00000000,000000,000000,000000,,,,,X,,0.00,0.00,00,B,000176280237,000176280238,,,,00,00,00,,,000,000,000,0000,0000,0000,,0.00,X,2,0.00,0.00,,,,00000000,,0.00,0.00,0.00,0.00,,,,,,0,1,,,0,,,,0.00,20251123,062948,2025-11-23 06:30:05.765,2025-11-23 06:36:37.622
500,MAT-004318,PLNT-01,,,0.000,0.00,S,100.00,0.00,1,9100,0.00,0.000,0.00,S,100.00,0.00,1,9100,0.00,0.000,0.00,S,100.00,0.00,1,9100,0.00,2025,05,,0.00,00000000,0.00,00000000,0,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0.00,0.00,0.00,00000000,00000000,00000000,000000,000000,000000,,,,,,,0.00,0.00,00,BG,000174582401,000174582402,,,,00,00,00,,,000,000,000,0000,0000,0000,,0.00,,,0.00,0.00,,,,00000000,,0.00,0.00,0.00,0.00,,,,,,0,0,,,0,,,,0.00,20250220,162517,2025-02-20 16:26:45.781,2025-02-20 16:36:31.764
