MANDT,MATNR,MEINH,UMREZ,UMREN,EANNR,EAN11,NUMTP,LAENG,BREIT,HOEHE,MEABM,VOLUM,VOLEH,BRGEW,GEWEI,MESUB,ATINN,MESRT,XFHDW,XBEWW,KZWSO,MSEHI,BFLME_MARM,GTIN_VARIANT,NEST_FTR,MAX_STACK,CAPAUSE,TY2TQ,ZZDADATE,ZZDATIME,GLCOMMITTIME,LAST_UPDATED
500,MAT-000565,ST,1,1,,630414657219,UC,22.540,11.100,4.130,CM,1.033,CDM,0.300,KG,,0000000000,00,,,,,,,0,0,0.000,,20260119,070131,2026-01-19 07:02:56.300,2026-01-19 07:09:47.676
500,MAT-001213,ST,1,1,,,,700.000,600.000,150.000,MM,63000000.000,MMQ,0.040,KG,,0000000000,00,,,,,,,0,0,0.000,,20260116,195348,2026-01-16 19:54:03.918,2026-01-16 20:09:44.118
500,MAT-001214,ST,1,1,,,,700.000,600.000,150.000,MM,63000000.000,MMQ,0.050,KG,,0000000000,00,,,,,,,0,0,0.000,,20260116,195348,2026-01-16 19:54:03.918,2026-01-16 20:09:44.118
500,MAT-001215,ST,1,1,,,,700.000,600.000,150.000,MM,63000000.000,MMQ,0.060,KG,,0000000000,00,,,,,,,0,0,0.000,,20260116,195348,2026-01-16 19:54:03.918,2026-01-16 20:09:44.118
500,MAT-001216,ST,1,1,,,,700.000,600.000,150.000,MM,63000000.000,MMQ,0.080,KG,,0000000000,00,,,,,,,0,0,0.000,,20260116,195348,2026-01-16 19:54:03.918,2026-01-16 20:09:44.118
500,MAT-001217,ST,1,1,,,,700.000,600.000,150.000,MM,63000000.000,MMQ,0.090,KG,,0000000000,00,,,,,,,0,0,0.000,,20260116,195348,2026-01-16 19:54:03.918,2026-01-16 20:09:44.118
500,MAT-001219,ST,1,1,,,,700.000,600.000,150.000,MM,63000000.000,MMQ,0.040,KG,,0000000000,00,,,,,,,0,0,0.000,,20260116,195348,2026-01-16 19:54:03.918,2026-01-16 20:09:44.118
500,MAT-001220,ST,1,1,,,,700.000,600.000,150.000,MM,63000000.000,MMQ,0.020,KG,,0000000000,00,,,,,,,0,0,0.000,,20260116,195348,2026-01-16 19:54:03.918,2026-01-16 20:09:44.118
500,MAT-001221,ST,1,1,,,,700.000,600.000,150.000,MM,63000000.000,MMQ,0.080,KG,,0000000000,00,,,,,,,0,0,0.000,,20260116,195348,2026-01-16 19:54:03.918,2026-01-16 20:09:44.118
500,MAT-001210,ST,1,1,,,,700.000,600.000,150.000,MM,63000000.000,MMQ,0.220,KG,,0000000000,00,,,,,,,0,0,0.000,,20260116,195348,2026-01-16 19:54:03.918,2026-01-16 20:09:44.118
500,MAT-002157,ST,1,1,,,,250.000,170.000,250.000,MM,10625000.000,MMQ,1.900,KG,,0000000000,00,,,,,,,0,0,0.000,,20260120,164041,2026-01-20 16:40:55.179,2026-01-20 17:10:12.551
500,MAT-003063,ST,1,1,,,,0.000,0.000,0.000,,0.000,,1.900,KG,,0000000000,00,,,,,,,0,0,0.000,,20260120,150145,2026-01-20 15:08:09.813,2026-01-20 15:10:23.930
500,MAT-003061,ST,1,1,,,,0.000,0.000,0.000,,0.000,,5.100,KG,,0000000000,00,,,,,,,0,0,0.000,,20260120,144612,2026-01-20 14:47:29.053,2026-01-20 15:10:23.930
500,MAT-003569,ST,1,1,,,,0.000,0.000,0.000,MM,0.000,MMQ,1.000,KG,,0000000000,00,,,,,,,0,0,0.000,,20260119,182725,2026-01-19 18:27:32.561,2026-01-19 18:39:16.191
500,MAT-002758,ST,1,1,,,,0.000,0.000,0.000,,0.000,,10.062,KG,,0000000000,00,,,,,,,0,0,0.000,,20260119,180857,2026-01-19 18:09:09.987,2026-01-19 18:39:16.191
500,MAT-001041,ST,1,1,,,,150.000,150.000,150.000,MM,3375000.000,MMQ,0.348,KG,,0000000000,00,,,,,,,0,0,0.000,,20260120,171025,2026-01-20 17:10:34.549,2026-01-20 17:39:43.915
